stopdate,stoptime,streetnbr,streetdir,street,Min,sex,race,ethnic,Year of birth,enfaction,rpmainid
 03/21/2018,1700,1236,,CANYON BLVD,10,M,W,H,1997,N,4926
 03/22/2018,1700,1236,,CANYON BLVD,10,M,W,N,1964,N,4927
 03/21/2018,2250,4710,,PEARL EAST CIR,10,M,W,N,1993,N,4928
 03/21/2018,2250,4710,,PEARL EAST CIR,10,M,B,N,1993,N,4929
 03/21/2018,2340,3900,,ARAPAHOE AVE,15,M,W,N,1991,N,4930
 03/22/2018,1954,1899,,13TH ST/WALNUT ST,7,M,W,N,1980,N,4931
 03/22/2018,2035,699,,30TH ST/BASELINE RD,10,M,W,N,1996,Y,4932
 03/22/2018,2047,2800,,E AURORA AVE/28TH FRONTAGE RD,5,M,W,N,1995,Y,4933
 03/22/2018,2100,2800,,COLORADO AVE,5,M,A,N,1992,Y,4934
 03/22/2018,2140,,,21ST ST/CANYON BLVD,10,M,W,H,1995,Y,4935
 03/22/2018,2200,1499,,18TH ST/ARAPAHOE AVE,5,M,W,N,1969,Y,4936
 03/22/2018,2240,899,,18TH ST/AURORA AVE,5,M,W,N,1998,Y,4937
 03/21/2018,1914,,,BROADWAY/DARTMOUTH,5,F,W,N,1964,N,4938
 03/22/2018,1540,,,MEADOWBROOK DR/BASELINE RD,20,M,W,N,1990,N,4939
 03/23/2018,100,1099,,13TH ST/COLLEGE AVE,20,M,W,N,1982,N,4940
 03/22/2018,2344,999,,14TH ST/EUCLID AVE,10,M,W,N,1989,N,4941
 03/23/2018,220,899,,17TH ST/AURORA AVE,10,M,W,N,1997,Y,4942
 03/23/2018,224,291,,ARAPAHOE AVE,20,F,W,N,1982,N,4943
 03/23/2018,133,,,29TH ST/BASELINE RD,5,M,W,N,1947,N,4944
 03/23/2018,220,999,,17TH ST/BROADWAY,5,F,W,N,1983,Y,4945
 03/23/2018,45,2700,,ARAPAHOE AVE,10,M,W,H,1982,N,4946
 03/23/2018,5,899,,16TH ST/AURORA AVE,5,M,W,N,1989,Y,4947
 03/23/2018,116,1299,,BROADWAY/PLEASANT ST,10,M,B,N,1975,N,4948
 03/23/2018,102,1399,,BROADWAY/UNIVERSITY AVE,11,M,W,N,1983,Y,4949
 03/22/2018,1145,,,28TH ST/HWY 36 EB ON RP @ BASELINE WB,10,F,W,N,1940,Y,4950
 03/22/2018,1205,,,BASELINE RD/28TH ST,10,M,W,N,1990,Y,4951
 03/22/2018,1230,,,HWY 36 WB ON RP @ T MESA/TABLE MESA DR,10,M,W,N,1995,N,4952
 03/22/2018,1245,700,,28TH ST/BASELINE RD,10,M,W,H,1981,N,4953
 03/22/2018,1255,,,29TH ST/BASELINE RD,10,M,W,N,1973,N,4954
 03/22/2018,1500,975,,28TH FRONTAGE RD/E EUCLID AVE,10,M,W,N,1995,Y,4955
 03/22/2018,1650,698,,FOOTHILLS PKWY/BASELINE RD,10,M,W,N,1997,N,4956
 03/23/2018,1213,2199,,MAPLETON AVE/22ND ST,10,M,W,N,1982,N,4957
 03/23/2018,1244,4400,,BROADWAY,15,F,W,N,1962,N,4958
 03/23/2018,1244,4400,,BROADWAY,15,M,W,N,1975,N,4959
 03/23/2018,1540,,,33RD ST/ARAPAHOE AVE,10,F,W,N,1978,Y,4960
 03/23/2018,1830,1698,,30TH ST/CANYON BLVD,5,M,W,N,1983,Y,4961
 03/23/2018,1850,1399,,BROADWAY/UNIVERSITY AVE,5,M,W,N,1995,Y,4962
 03/23/2018,1846,2900,,ARAPAHOE AVE,10,M,W,N,1991,Y,4963
 03/23/2018,1940,999,,13TH ST/EUCLID AVE,5,M,W,N,1997,Y,4964
 03/23/2018,2020,2700,,MAPLETON AVE,5,F,W,H,1998,N,4965
 03/23/2018,1925,598,,TANTRA DR/TABLE MESA DR,10,M,W,N,1950,Y,4966
 03/23/2018,2223,,,13TH ST/CANYON BLVD,5,M,W,H,1977,N,4967
 03/23/2018,2255,817,,30TH ST/BIXBY AVE,5,M,W,N,1987,Y,4968
 03/23/2018,2042,,,18TH/AUROURA,10,M,W,N,1996,Y,4969
 03/23/2018,2323,,,26TH ST/CANYON BLVD,30,F,W,N,1988,Y,4970
 03/23/2018,1600,1100,,COLLEGE AVE,10,M,W,N,1973,N,4971
 03/23/2018,1838,1236,,CANYON BLVD,10,M,W,N,1986,Y,4972
 03/23/2018,1838,1236,,CANYON BLVD,10,M,W,N,1985,Y,4973
 03/23/2018,1730,900,,COLLEGE AVE,10,F,W,,1997,Y,4974
 03/23/2018,1838,1236,,CANYON BLVD,10,F,W,N,1982,Y,4975
 03/23/2018,1838,1236,,CANYON BLVD,10,M,W,N,1983,N,4976
 03/23/2018,1838,1236,,CANYON BLVD,10,M,W,N,1983,N,4977
 03/24/2018,16,,,DIAGONAL HWY/INDEPENDENCE RD,10,M,W,N,1994,Y,4978
 03/24/2018,16,,,DIAGONAL HWY/INDEPENDENCE RD,10,M,W,N,1990,N,4979
 03/24/2018,25,3599,,28TH ST/KALMIA AVE,10,M,W,N,1981,Y,4980
 03/23/2018,2000,1500,,FOOTHILLS PKWY,10,F,W,N,1962,Y,4981
 03/23/2018,1838,1236,,CANYON BLVD,10,M,W,N,1976,Y,4982
 03/23/2018,1838,1236,,CANYON BLVD,10,F,W,N,1986,Y,4983
 03/23/2018,2300,4700,,BOULDER CREEK PATH,5,M,W,N,1985,N,4984
 03/23/2018,2048,4900,,PEARL PKWY,5,M,W,N,1964,Y,4985
 03/23/2018,2315,,,FOOTHILLS PKWY/ARAPAHOE AVE,15,M,W,N,1949,N,4986
 03/23/2018,2351,1682,,30TH ST,5,M,W,N,1955,N,4987
 03/24/2018,110,899,,20TH ST/REGENT DR,5,M,W,H,1993,N,4988
 03/24/2018,142,3999,,BROADWAY/QUINCE AVE,10,M,W,N,1985,Y,4989
 03/24/2018,220,2699,,BROADWAY/ALPINE AVE,20,M,W,N,1979,Y,4990
 03/23/2018,2040,1800,,30TH ST,10,F,W,N,1989,N,4991
 03/23/2018,2141,1649,,9TH ST/MARINE | ARAPAHOE ALLEY,10,M,W,N,1956,N,4992
 03/23/2018,8,700,,20TH ST,10,M,W,N,1999,Y,4993
 03/22/2018,2315,1399,,11TH ST/UNIVERSITY AVE,10,F,W,N,1998,Y,4994
 03/21/2018,1315,1100,,SPRUCE ST,10,M,W,N,1979,Y,4995
 03/21/2018,1328,1100,,SPRUCE ST,10,M,W,N,1946,Y,4996
 03/21/2018,1411,1200,,LAWRY LN,5,M,W,N,1968,N,4997
 03/21/2018,1522,1500,,PEARL ST,10,M,W,N,2003,Y,4998
 03/21/2018,1522,1500,,PEARL ST,10,F,W,H,2002,N,4999
 03/21/2018,1554,901,,CANYON BLVD,15,M,W,N,1996,N,5000
 03/21/2018,1554,901,,CANYON BLVD,15,M,W,N,1975,N,5001
 03/21/2018,1554,901,,CANYON BLVD,15,M,W,N,1980,N,5002
 03/21/2018,1554,901,,CANYON BLVD,15,M,W,N,1986,N,5003
 03/21/2018,1639,1200,,PEARL ST,10,M,A,N,1990,N,5004
 03/14/2018,1616,2020,,11TH ST,5,M,W,N,1974,N,5005
 03/17/2018,2247,2115,,13TH ST,5,M,W,N,1990,Y,5006
 03/17/2018,2043,1434,,SPRUCE ST,10,M,W,N,1984,N,5007
 03/17/2018,2305,1275,,13TH ST,5,M,W,N,1993,N,5008
 03/17/2018,2345,1130,,PEARL ST,15,M,W,N,2000,N,5009
 03/18/2018,5,1325,,PEARL ST,35,M,W,N,1994,Y,5010
 03/18/2018,116,1617,,LINCOLN PL,10,F,W,N,1996,Y,5011
 03/18/2018,142,1043,,PEARL ST,20,M,W,N,1996,Y,5012
 03/18/2018,248,2760,,CANYON BLVD,10,M,W,H,1995,Y,5013
 03/18/2018,434,4479,,BROADWAY,20,M,W,H,1979,N,5014
 03/19/2018,10,645,,27TH WAY,10,M,W,N,1981,N,5015
 03/19/2018,21,3500,,COLORADO AVE,5,M,A,N,1957,N,5016
 03/21/2018,1251,1301,,CANYON BLVD,5,M,W,N,1986,Y,5017
 03/24/2018,205,2525,,ARAPAHOE AVE,5,M,W,N,1961,N,5018
 03/24/2018,430,2800,,PEARL ST,10,M,W,N,1992,Y,5019
 03/23/2018,2300,1682,,30TH ST,2,M,W,N,1950,N,5020
 03/22/2018,2140,,,BROADWAY 27TH,10,M,W,N,1983,Y,5021
 03/23/2018,24,,,20TH AND ARAPAHOE,10,M,W,N,1980,N,5022
 03/24/2018,325,,,26TH AND CANYON,10,M,W,N,1998,Y,5023
 03/24/2018,15,,,FOLSOM AND CANYON,25,,,,0,,5024
 03/24/2018,120,1198,,28TH ST/COLORADO AVE,5,F,W,N,1980,N,5025
 03/23/2018,1049,1800,,14TH ST,5,M,B,N,1983,N,5026
 03/24/2018,800,1499,,BROADWAY/GRANDVIEW AVE,10,M,W,N,1981,N,5027
 03/24/2018,820,1777,,BROADWAY,10,M,W,N,1980,N,5028
 03/24/2018,1245,,,9TH ST/CANYON BLVD,10,M,W,N,1986,N,5029
 03/18/2018,1444,291,,ARAPAHOE AVE,10,M,W,N,1965,N,5030
 03/16/2018,1300,1280,,EUCLID AVE,15,M,W,N,1998,N,5031
 03/24/2018,1931,,,US HIGHWAY 36/BASELINE RD,40,F,W,N,1990,N,5032
 03/24/2018,1931,,,US HIGHWAY 36/BASELINE RD,40,M,W,N,1988,N,5033
 03/24/2018,1931,,,US HIGHWAY 36/BASELINE RD,40,M,W,N,1991,N,5034
 03/24/2018,1931,,,US HIGHWAY 36/BASELINE RD,40,M,W,N,1997,N,5035
 03/24/2018,1931,,,US HIGHWAY 36/BASELINE RD,40,F,W,N,1997,N,5036
 03/24/2018,1925,1898,,28TH ST/WALNUT ST,7,M,W,N,1999,Y,5037
 03/24/2018,2125,4599,,28TH ST/YARMOUTH AVE,8,F,W,N,1986,N,5038
 03/25/2018,120,,,13TH ST/UNIVERSITY AVE,15,M,W,N,2000,Y,5039
 03/25/2018,8,1650,,30TH ST,30,M,W,N,1988,N,5040
 03/25/2018,8,1650,,30TH ST,30,F,W,N,1989,N,5041
 03/25/2018,225,,,BROADWAY/UNIVERSITY,10,M,W,N,1987,N,5042
 03/25/2018,42,,,32ND ST/BASELINE RD,10,M,W,N,1990,N,5043
 03/25/2018,42,,,32ND ST/BASELINE RD,10,F,W,N,1987,N,5044
 03/25/2018,116,1099,,13TH ST/COLLEGE AVE,30,F,B,N,1974,Y,5045
 03/25/2018,100,1700,,13TH ST/ARAPAHOE AVE,5,M,W,N,1998,Y,5046
 03/25/2018,530,2600,,28TH ST,5,F,W,,1988,Y,5047
 03/25/2018,450,4500,,BROADWAY,20,M,W,H,2000,Y,5048
 03/25/2018,324,800,,BROADWAY,5,M,W,N,1995,Y,5049
 03/25/2018,210,,,DIAGONAL HWY/28TH ST,10,M,W,N,1979,N,5050
 03/25/2018,251,5500,,ARAPAHOE AVE,10,M,W,N,1970,N,5051
 03/20/2018,2005,2900,,BASELINE RD,10,F,W,,1969,Y,5052
 03/25/2018,320,3698,,TABLE MESA DR/S BROADWAY,10,M,W,H,1985,Y,5053
 03/25/2018,542,4999,,THUNDERBIRD CIR/THUNDERBIRD DR,5,M,W,N,1978,Y,5054
 03/25/2018,256,1399,,7TH ST/UNIVERSITY AVE,10,F,W,N,1997,Y,5055
 03/23/2018,1400,1400,,PEARL ST,10,M,W,N,1973,Y,5056
 03/25/2018,800,1777,,BROADWAY,10,M,W,N,1986,N,5057
 03/25/2018,1300,1236,,CANYON BLVD,5,M,W,N,1987,N,5058
 03/24/2018,715,2720,,BASELINE RD,5,M,W,N,1993,N,5059
 03/24/2018,1457,878,,BROADWAY/20TH ST,30,F,W,N,1997,N,5060
 03/25/2018,1051,1200,,PLEASANT ST,15,M,W,N,1995,Y,5061
 03/25/2018,800,1300,,CANYON BLVD,10,M,W,N,1950,N,5062
 03/25/2018,1355,,,30TH ST/ARAPAHOE AVE,0,F,W,N,2001,Y,5063
 03/25/2018,1415,1899,,28TH ST/WALNUT ST,15,F,W,N,1998,N,5064
 03/17/2018,1722,1299,,BROADWAY/PLEASANT ST,20,M,W,N,1992,N,5065
 03/25/2018,1800,1400,,PEARL ST,30,M,W,H,2002,Y,5066
 03/25/2018,1226,1400,,PEARL ST,15,M,W,N,1970,N,5067
 03/25/2018,2228,3800,,28TH ST,12,M,W,H,1991,Y,5068
 03/25/2018,2143,2600,,ARAPAHOE AVE,20,M,U,N,1992,Y,5069
 03/26/2018,20,3805,,47TH ST,5,M,W,N,1984,N,5070
 03/26/2018,50,6300,,DIAGONAL HWY/MINERAL RD,5,M,W,N,1970,N,5071
 03/26/2018,59,,,DIAGONAL HWY/63RD ST,15,M,W,N,1990,Y,5072
 03/26/2018,121,6565,,GUNPARK DR,10,M,W,N,1969,N,5073
 03/26/2018,820,1049,,GILLASPIE DR/DARLEY AVE,5,M,W,N,1951,N,5074
 03/26/2018,945,1800,,28TH ST,10,F,W,N,1990,,5075
 03/26/2018,1500,1500,,WALNUT ST,5,F,W,N,1992,N,5076
 03/26/2018,1100,1101,,ARAPAHOE,5,M,A,N,1947,Y,5077
 03/26/2018,1300,1300,,ARAPAHOE,60,,,,0,,5078
 03/26/2018,1050,300,,CANYON BLVD,10,M,W,N,1996,Y,5079
 03/26/2018,1457,,,DIAGONAL HWY/INDEPENDENCE RD,10,M,W,N,1976,N,5080
 03/26/2018,1442,,,DIAGONAL HWY/CONNECTING ST,10,F,W,N,1956,N,5081
 03/26/2018,826,299,,55TH ST/OMAHA PL,11,F,W,N,1933,Y,5082
 03/26/2018,848,499,,55TH ST/TENINO AVE,9,F,W,N,1994,Y,5083
 03/26/2018,1411,4599,,28TH ST/YARMOUTH AVE,8,F,W,N,1960,Y,5084
 03/26/2018,1442,4599,,28TH ST/YARMOUTH AVE,8,F,W,N,1999,N,5085
 03/26/2018,2115,1515,,GREENBRIAR BLVD,5,M,A,N,1996,Y,5086
 03/15/2018,2000,4700,,VALMONT,10,,,N,1990,,5087
 03/18/2018,2300,1300,,BROADWAY,15,M,W,N,1996,Y,5088
 03/27/2018,915,1001,,ARAPAHOE AVE,5,M,W,N,1977,N,5089
 03/27/2018,1045,1236,,CANYON BLVD,5,F,W,N,1979,N,5090
 03/27/2018,1146,1777,,BROADWAY,5,M,W,N,1986,N,5091
 03/27/2018,1245,1236,,CANYON BLVD,15,F,W,N,1979,N,5092
 03/27/2018,1245,1236,,CANYON BLVD,15,M,W,N,1992,N,5093
 03/27/2018,1245,1236,,CANYON BLVD,15,F,W,N,1969,N,5094
 03/27/2018,1445,1001,,ARAPAHOE AVE,5,M,W,N,1978,N,5095
 03/27/2018,1550,1300,,PEARL ST,10,F,W,N,1971,N,5096
 03/27/2018,1648,599,,27TH WAY/MOORHEAD AVE,10,M,W,H,1999,Y,5097
 03/27/2018,2230,900,,UNIVERSITY AVE,5,M,W,N,1990,Y,5098
 03/28/2018,907,,,28TH ST FRONTAGE RD/EUCLID AVE,8,M,W,N,1977,N,5099
 03/28/2018,1101,,,29TH ST/ARAPAHOE AVE,6,F,W,H,1983,N,5100
 03/28/2018,1104,4745,,VALMONT RD/47TH ST,15,F,W,N,1985,Y,5101
 03/28/2018,930,2799,,COLORADO AVE/UNIVERSITY HEIGHTS,10,M,W,N,1954,N,5102
 03/28/2018,945,,,UNIVERSITY HEIGHTS/BELLA VISTA LN,10,M,W,N,1991,Y,5103
 03/28/2018,1010,1198,,28TH ST/COLORADO AVE,10,F,W,H,1984,N,5104
 03/28/2018,1200,,,HWY 36 WB ON RP @ T MESA/TABLE MESA DR,10,F,W,H,1984,N,5105
 03/28/2018,1220,1199,,28TH FRONTAGE RD/COLORADO AVE,10,F,W,N,1999,N,5106
 03/28/2018,1235,975,,28TH FRONTAGE RD/E EUCLID AVE,10,M,W,N,1977,N,5107
 03/28/2018,1140,2199,,14TH ST/PINE ST,10,M,W,N,1978,Y,5108
 03/28/2018,805,2999,,28TH ST/VALMONT RD,5,F,W,N,1988,N,5109
 03/28/2018,835,,,28TH ST/PEARL ST,10,F,W,N,1984,N,5110
 03/28/2018,845,,,30TH ST/PEARL PKWY,10,M,W,N,1980,Y,5111
 03/28/2018,1020,899,,20TH ST/BROADWAY,10,M,W,N,1996,Y,5112
 03/28/2018,1009,899,,20TH ST/BROADWAY,10,M,W,N,1999,Y,5113
 03/28/2018,1036,899,,20TH ST/BROADWAY,10,F,W,N,1988,Y,5114
 03/28/2018,1055,1999,,BROADWAY/PEARL ST,15,F,W,H,1973,N,5115
 03/28/2018,600,,,,5,M,W,N,1964,N,5116
 03/25/2018,800,,,,10,M,W,N,1986,N,5117
 03/28/2018,1230,1900,,BROADWAY,20,M,W,N,1944,N,5118
 03/27/2018,1630,1480,,CANYON BLVD,15,M,W,H,1966,N,5119
 03/27/2018,1630,1480,,CANYON BLVD,15,M,W,N,1980,N,5120
 03/27/2018,2006,3449,,BROADWAY/JUNIPER AVE,9,F,A,N,1961,Y,5121
 03/28/2018,2215,,,63RD ST/DIAGONAL HWY,10,F,W,H,1986,N,5122
 03/28/2018,1907,799,,16TH ST/CASCADE AVE,5,M,W,N,1957,N,5123
 03/28/2018,200,899,,28TH FRONTAGE RD/E AURORA AVE,20,M,W,N,1989,Y,5124
 03/28/2018,130,,,2800 BLK MOORHEAD,15,M,W,N,1970,N,5125
 03/23/2018,140,,,20TH AND ARAPAHOE,15,M,W,H,1980,N,5126
 03/28/2018,2300,1918,,BASELINE RD,10,M,W,N,1993,N,5127
 03/28/2018,1927,15TH,,AURORA,10,F,W,N,1994,Y,5128
 03/28/2018,1945,3RD,,CANYON,10,M,W,N,1967,N,5129
 03/28/2018,2000,2399,,BROADWAY/HIGH ST,10,F,W,N,1998,N,5130
 03/28/2018,2019,3399,,BROADWAY/IRIS AVE,10,F,W,N,1958,N,5131
 03/28/2018,2032,,,28TH/PEARL,10,M,A,N,1972,Y,5132
 03/28/2018,2115,1699,,BROADWAY/ARAPAHOE AVE,10,F,A,N,1963,N,5133
 03/28/2018,2155,2999,,IRIS AVE/30TH ST,5,M,W,N,1965,Y,5134
 03/29/2018,731,2880,,DIAGONAL HWY,15,M,W,N,1970,N,5135
 03/29/2018,700,2900,,IRIS AVE,30,M,A,N,1972,Y,5136
 03/29/2018,800,291,,ARAPAHOE AVE,10,M,W,N,1975,N,5137
 03/29/2018,800,291,,ARAPAHOE AVE,10,M,W,N,1992,N,5138
 03/29/2018,800,291,,ARAPAHOE AVE,10,M,W,N,1979,N,5139
 03/29/2018,800,291,,ARAPAHOE AVE,10,F,W,N,1975,N,5140
 03/29/2018,750,291,,ARAPAHOE AVE,5,M,W,N,1993,N,5141
 03/29/2018,940,,,33/WALNUT,15,M,W,N,1988,Y,5142
 03/29/2018,840,1899,,38TH ST/WALNUT ST,15,F,W,N,1974,N,5143
 03/29/2018,1000,1200,,CANYON BLVD,8,M,W,N,1961,N,5144
 03/29/2018,1055,1050,,ARAPAHOE AVE,8,M,W,N,1960,N,5145
 03/29/2018,809,,,DIAGONAL HWY/INDEPENDENCE RD,10,M,W,H,1995,Y,5146
 03/29/2018,1105,599,,BROADWAY/BASELINE RD,5,F,W,N,1997,Y,5147
 03/29/2018,1017,1899,,30TH ST/WALNUT ST,10,F,W,N,1966,Y,5148
 03/29/2018,844,,,DIAGONAL HWY/INDEPENDENCE RD,10,F,A,N,1974,Y,5149
 03/29/2018,1035,899,,20TH ST/BROADWAY,10,M,W,N,1963,N,5150
 03/29/2018,1125,,,27TH ST/S BROADWAY,10,M,W,N,1998,Y,5151
 03/29/2018,815,,,DIAGONAL HWY/INDEPENDENCE RD,10,F,W,N,1982,Y,5152
 03/29/2018,755,,,DIAGONAL HWY/INDEPENDENCE RD,10,F,W,N,1981,Y,5153
 03/29/2018,1048,899,,20TH ST/BROADWAY,10,F,W,N,1961,Y,5154
 03/29/2018,1120,,,27TH ST/BROADWAY,10,M,W,N,1993,Y,5155
 03/29/2018,1200,1199,,28TH FRONTAGE RD/COLORADO AVE,10,F,W,N,1959,Y,5156
 03/29/2018,1131,,,27TH ST/BROADWAY,10,F,W,N,1995,N,5157
 03/29/2018,1157,900,,28TH FRONTAGE RD,10,M,A,N,1987,N,5158
 03/29/2018,1207,,,30TH ST/ARAPAHOE AVE,10,M,W,N,1986,Y,5159
 03/29/2018,1248,1050,,ARAPAHOE AVE,8,M,B,N,1989,Y,5160
 03/29/2018,810,698,,FOOTHILLS PKWY/BASELINE RD,10,M,W,N,1990,N,5161
 03/29/2018,844,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1989,N,5162
 03/29/2018,949,,,US HWY 46 MM37,10,M,A,N,1986,Y,5163
 03/29/2018,1008,,,US HWY36 MM37,10,F,W,N,1964,N,5164
 03/29/2018,1343,,,FOOTHILLS PKWY/VALMONT RD,10,M,W,N,1992,Y,5165
 03/29/2018,1121,5700,,ARAPAHOE AVE,10,M,B,N,1997,N,5166
 03/29/2018,1102,5700,,ARAPAHOE AVE,10,M,W,N,1986,N,5167
 03/27/2018,1545,1398,,FOOTHILLS PKWY/COLORADO AVE,6,M,W,N,1994,N,5168
 03/27/2018,1630,3500,,BASELINE RD,7,F,W,N,1971,Y,5169
 03/27/2018,1705,2300,,ARAPAHOE AVE,8,F,W,N,1996,Y,5170
 03/29/2018,1540,,,DIAGONAL HWY/INDEPENDENCE RD,10,M,W,N,1993,N,5171
 03/29/2018,1535,,,FOOTHILLS/ARAPAHOE,10,M,W,N,1988,Y,5172
 03/29/2018,1037,,,FOOTHILLS PKWY/ARAPAHOE AVE,5,F,W,N,1975,N,5173
 03/29/2018,1100,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,M,W,N,1984,N,5174
 03/29/2018,1837,2219,,BROADWAY/PINE | MAPLETON ALLEY,25,F,W,N,1997,Y,5175
 03/29/2018,2250,3325,,28TH ST,50,M,I,N,1980,Y,5176
 03/29/2018,2111,1899,,13TH ST/WALNUT ST,25,M,W,N,1982,N,5177
 03/30/2018,20,1499,,BROADWAY/GRANDVIEW AVE,5,M,W,N,1972,N,5178
 03/29/2018,2250,1480,,CANYON BLVD,10,M,W,N,1992,N,5179
 03/30/2018,45,1999,,18TH ST/PEARL ST,10,M,W,N,1994,Y,5180
 03/30/2018,15,1029,,BROADWAY/EUCLID AVE,3,F,B,N,1985,N,5181
 03/30/2018,50,700,,9TH ST/BASELINE RD,5,M,W,N,1991,Y,5182
 03/30/2018,220,1899,,11TH ST/WALNUT ST,5,F,W,N,1991,N,5183
 03/30/2018,140,1099,,13TH ST/COLLEGE AVE,5,M,W,N,1996,N,5184
 03/30/2018,15,1199,,ROSEWOOD AVE/BROADWAY,10,M,W,N,1979,N,5185
 03/30/2018,15,1199,,ROSEWOOD AVE/BROADWAY,10,M,B,N,1982,N,5186
 03/30/2018,15,1199,,ROSEWOOD AVE/BROADWAY,16,M,W,N,1952,N,5187
 03/30/2018,1201,,,FOOTHILLS/ARAPAHOE,10,M,A,N,1975,N,5188
 03/30/2018,1132,,,FOOTHILLS/ARAPAHOE,10,M,W,N,1986,Y,5189
 03/30/2018,1905,2899,,FOLSOM ST/VALMONT RD,5,F,W,N,1988,N,5190
 03/30/2018,2015,,,27TH WAY/BROADWAY,5,M,W,N,1988,Y,5191
 03/30/2018,2125,1850,,30TH ST,5,M,W,N,1988,N,5192
 03/30/2018,1901,4698,,BASELINE RD/MOHAWK DR,10,M,W,N,1996,Y,5193
 03/30/2018,2350,1001,,ARAPAHOE AVE,25,F,W,,1982,N,5194
 03/30/2018,2350,1001,,ARAPAHOE AVE,25,,,,1994,N,5195
 03/30/2018,2230,1480,,CANYON BLVD,20,M,W,N,1992,N,5196
 03/30/2018,2230,1480,,CANYON BLVD,20,M,W,N,1961,N,5197
 03/30/2018,2315,1500,,GROVE ST,10,M,W,H,1998,N,5198
 03/30/2018,2345,1777,,BROADWAY,20,F,W,N,1960,N,5199
 03/30/2018,2345,1777,,BROADWAY,15,M,W,N,1957,N,5200
 03/30/2018,2345,1777,,BROADWAY,20,M,W,N,1964,N,5201
 03/31/2018,105,2500,,47TH ST,5,M,W,N,1969,N,5202
 03/30/2018,2313,2799,,IRIS AVE/28TH ST,5,M,W,N,1967,N,5203
 03/30/2018,2328,1699,,PEARL ST/17TH ST,5,M,W,N,1973,N,5204
 03/31/2018,7,,,DIAGONAL HWY/JAY RD,10,M,W,N,1983,Y,5205
 03/31/2018,335,900,,BASELINE RD,10,M,W,H,1999,N,5206
 03/31/2018,330,899,,20TH ST/BROADWAY,15,M,W,N,1967,Y,5207
 03/30/2018,2316,2900,,BASELINE RD,5,F,W,N,1978,N,5208
 03/31/2018,116,,,TABLE MESA DR/FOOTHILLS PKWY,10,F,W,N,1987,N,5209
 03/31/2018,335,900,,BASELINE RD,10,F,W,H,2002,N,5210
 03/30/2018,0,1401,,WALNUT ST,7,M,W,N,1992,N,5211
 03/30/2018,130,1401,,WALNUT ST,5,M,W,N,1992,N,5212
 03/31/2018,300,1650,,30TH ST,25,M,W,N,1990,N,5213
 03/31/2018,700,1300,,CANYON BLVD,50,M,W,N,1988,N,5214
 03/31/2018,800,800,,CANYON BLVD,3,M,W,N,1983,N,5215
 03/31/2018,900,700,,CANYON BLVD,7,M,W,N,1996,N,5216
 03/31/2018,900,600,,CANYON BLVD,6,M,W,N,1998,N,5217
 03/17/2018,2220,1898,,30TH ST/WALNUT ST,10,M,W,N,1999,N,5218
 03/26/2018,2115,,,ARAPAHOE AVE/FOOTHILLS PKWY,5,M,W,N,1965,Y,5219
 03/31/2018,2015,2699,,BROADWAY/ALPINE AVE,5,M,W,N,1992,Y,5220
 03/31/2018,2015,1943,,15TH ST/LAWRY LN,5,M,W,N,1971,Y,5221
 03/31/2018,1650,,,30TH ST/ARAPAHOE AVE,10,M,W,N,1991,Y,5222
 03/31/2018,2344,1599,,20TH ST/ARAPAHOE AVE,45,M,W,N,1998,Y,5223
 04/01/2018,145,1199,,13TH ST/PENNSYLVANIA AVE,15,M,W,N,1997,Y,5224
 04/01/2018,150,1199,,13TH ST/PENNSYLVANIA AVE,15,M,W,N,2001,Y,5225
 03/31/2018,1953,,,BROADWAY/REGENT,60,F,W,H,2001,N,5226
 03/31/2018,2147,2999,,30TH ST/VALMONT RD,5,M,W,N,1993,Y,5227
 04/01/2018,211,1200,,COLLEGE AVE,6,M,W,N,1993,Y,5228
 04/01/2018,216,1200,,COLLEGE AVE,30,M,W,N,1992,Y,5229
 04/01/2018,216,1200,,COLLEGE AVE,30,M,W,N,1996,Y,5230
 04/01/2018,216,1200,,COLLEGE AVE,30,M,W,H,1996,Y,5231
 03/31/2018,2010,1300,,COLLEGE AVE,20,M,W,N,1994,N,5232
 03/31/2018,1910,1600,,CANYON BLVD,10,F,W,N,1969,Y,5233
 03/31/2018,2315,1700,,BROADWAY,10,M,W,N,1985,Y,5234
 03/31/2018,2000,1300,,COLLEGE AVE,5,F,W,N,0,N,5235
 03/31/2018,948,1400,,BROADWAY,5,M,W,N,1994,N,5236
 04/01/2018,715,,,27TH ST/BROADWAY,10,M,W,N,1981,Y,5237
 04/01/2018,813,100,,BROADWAY,10,F,W,N,1996,Y,5238
 03/31/2018,1215,1830,,30TH ST,5,M,W,N,1988,N,5239
 03/31/2018,1215,1830,,30TH ST,5,F,W,N,1983,N,5240
 04/01/2018,1635,1198,,28TH ST/COLORADO AVE,10,M,W,N,1996,N,5241
 03/23/2018,2200,3099,,PEARL PKWY/JUNCTION PL,10,M,W,N,1987,N,5242
 03/23/2018,2200,3099,,PEARL PKWY/JUNCTION PL,10,F,W,N,1981,N,5243
 03/23/2018,1837,,,30TH ST/PEARL PKWY,5,M,B,N,1966,Y,5244
 03/23/2018,2217,,,38TH ST/ARAPAHOE AVE,20,F,W,N,1981,N,5245
